Date,Time,Bag#,CO2 (%),Temperature (deg C)
7/7/2022,11:25:03 AM,0,-0.005,32.768
7/7/2022,11:25:04 AM,0,-0.0034,32.726
7/7/2022,11:25:05 AM,0,-0.0042,32.768
7/7/2022,11:25:06 AM,0,-0.0057,32.768
7/7/2022,11:25:07 AM,0,-0.005,32.784
7/7/2022,11:25:08 AM,0,-0.0042,32.859
7/7/2022,11:25:09 AM,0,-0.0065,32.826
7/7/2022,11:25:10 AM,0,-0.0088,32.776
7/7/2022,11:25:11 AM,0,-0.005,32.843
7/7/2022,11:25:12 AM,0,-0.0081,32.793
7/7/2022,11:25:13 AM,0,-0.0026,32.784
7/7/2022,11:25:14 AM,0,-0.0026,32.851
7/7/2022,11:25:15 AM,0,-0.003,32.901
7/7/2022,11:25:16 AM,0,-0.0042,32.876
7/7/2022,11:25:17 AM,0,-0.0108,32.859
7/7/2022,11:25:18 AM,0,-0.0081,32.868
7/7/2022,11:25:19 AM,0,-0.0057,32.851
7/7/2022,11:25:20 AM,0,-0.0065,32.809
7/7/2022,11:25:21 AM,0,-0.0034,32.959
7/7/2022,11:25:22 AM,0,-0.0011,32.893
7/7/2022,11:25:23 AM,0,-0.0011,32.884
7/7/2022,11:25:24 AM,0,-0.0019,32.876
7/7/2022,11:25:25 AM,0,-0.0065,32.876
7/7/2022,11:25:26 AM,0,-0.0065,32.917
7/7/2022,11:25:27 AM,0,-0.0085,32.959
7/7/2022,11:25:28 AM,0,-0.0034,32.884
7/7/2022,11:25:29 AM,0,-0.0026,32.942
7/7/2022,11:25:30 AM,0,-0.0104,32.984
7/7/2022,11:25:31 AM,0,-0.0112,32.876
7/7/2022,11:25:32 AM,0,-0.0026,32.951
7/7/2022,11:25:33 AM,0,-0.0135,32.959
7/7/2022,11:25:34 AM,0,-0.0026,33.017
7/7/2022,11:25:35 AM,0,0.0005,32.893
7/7/2022,11:25:36 AM,0,-0.0011,32.984
7/7/2022,11:25:37 AM,0,-0.0135,32.934
7/7/2022,11:25:38 AM,0,-0.0069,32.967
7/7/2022,11:25:39 AM,0,-0.0108,33.017
7/7/2022,11:25:40 AM,0,-0.0119,33.1
7/7/2022,11:25:41 AM,0,-0.0019,32.967
7/7/2022,11:25:42 AM,0,-0.0034,33.025
7/7/2022,11:25:43 AM,0,-0.0096,33.084
7/7/2022,11:25:44 AM,0,-0.0119,33.059
7/7/2022,11:25:45 AM,0,-0.0088,33.001
7/7/2022,11:25:46 AM,0,-0.0042,33.042
7/7/2022,11:25:47 AM,0,-0.005,33.117
7/7/2022,11:25:48 AM,0,-0.0057,33.075
7/7/2022,11:25:49 AM,0,-0.0057,33.084
7/7/2022,11:25:50 AM,0,-0.0011,33.133
7/7/2022,11:25:51 AM,0,0.0032,33.142
7/7/2022,11:25:52 AM,0,-0.0042,33.092
7/7/2022,11:25:53 AM,0,-0.0034,33.034
7/7/2022,11:25:54 AM,0,0.0051,33.1
7/7/2022,11:25:55 AM,0,-0.0042,33.133
7/7/2022,11:25:56 AM,0,-0.0003,33.117
7/7/2022,11:25:57 AM,0,-0.0026,33.125
7/7/2022,11:25:58 AM,0,-0.0042,33.109
7/7/2022,11:25:59 AM,0,-0.0019,33.1
7/7/2022,11:26:00 AM,0,-0.0057,33.117
7/7/2022,11:26:01 AM,0,-0.0019,33.117
7/7/2022,11:26:02 AM,0,-0.0034,33.125
7/7/2022,11:26:03 AM,0,-0.0003,33.1
7/7/2022,11:26:04 AM,0,0.0005,33.125
7/7/2022,11:26:05 AM,0,-0.0081,33.133
7/7/2022,11:26:06 AM,0,-0.0019,33.167
7/7/2022,11:26:07 AM,0,-0.003,33.1
7/7/2022,11:26:08 AM,0,-0.0123,33.175
7/7/2022,11:26:09 AM,0,-0.0042,33.133
7/7/2022,11:26:10 AM,0,-0.0026,33.1
7/7/2022,11:26:11 AM,0,-0.0019,33.2
7/7/2022,11:26:12 AM,0,-0.005,33.167
7/7/2022,11:26:13 AM,0,-0.0034,33.15
7/7/2022,11:26:14 AM,0,-0.005,33.208
7/7/2022,11:26:15 AM,0,-0.0104,33.167
7/7/2022,11:26:16 AM,0,-0.0096,33.142
7/7/2022,11:26:17 AM,0,-0.0042,33.142
7/7/2022,11:26:18 AM,0,-0.0026,33.167
7/7/2022,11:26:19 AM,0,-0.0034,33.183
7/7/2022,11:26:20 AM,0,0.0005,33.167
7/7/2022,11:26:21 AM,0,-0.0026,33.2
7/7/2022,11:26:22 AM,0,-0.0065,33.175
7/7/2022,11:26:23 AM,0,0.002,33.175
7/7/2022,11:26:24 AM,0,-0.0057,33.175
7/7/2022,11:26:25 AM,0,-0.0077,33.2
7/7/2022,11:26:26 AM,0,-0.0026,33.125
7/7/2022,11:26:27 AM,0,-0.0057,33.175
7/7/2022,11:26:28 AM,0,-0.0042,33.208
7/7/2022,11:26:29 AM,0,-0.0065,33.225
7/7/2022,11:26:30 AM,0,-0.0081,33.208
7/7/2022,11:26:31 AM,0,-0.0034,33.208
7/7/2022,11:26:32 AM,0,0.0012,33.208
7/7/2022,11:26:33 AM,0,-0.0034,33.183
7/7/2022,11:26:34 AM,0,-0.0088,33.208
7/7/2022,11:26:35 AM,0,0.0005,33.217
7/7/2022,11:26:36 AM,0,-0.0003,33.208
7/7/2022,11:26:37 AM,0,-0.0034,33.225
7/7/2022,11:26:38 AM,0,-0.0081,33.225
7/7/2022,11:26:39 AM,0,-0.0007,33.225
7/7/2022,11:26:40 AM,0,-0.0065,33.225
7/7/2022,11:26:41 AM,0,-0.0011,33.217
7/7/2022,11:26:42 AM,0,0.002,33.225
7/7/2022,11:26:43 AM,0,-0.0026,33.217
7/7/2022,11:26:44 AM,0,-0.0081,33.225
7/7/2022,11:26:45 AM,0,0.002,33.208
7/7/2022,11:26:46 AM,0,-0.0065,33.2
7/7/2022,11:26:47 AM,0,-0.0011,33.217
7/7/2022,11:26:48 AM,0,-0.0081,33.208
7/7/2022,11:26:49 AM,0,-0.0042,33.225
7/7/2022,11:26:50 AM,0,-0.0003,33.225
7/7/2022,11:26:51 AM,0,-0.0088,33.217
7/7/2022,11:26:52 AM,0,-0.0065,33.233
7/7/2022,11:26:53 AM,0,-0.0003,33.225
7/7/2022,11:26:54 AM,0,-0.0034,33.225
7/7/2022,11:26:55 AM,0,0.0012,33.217
7/7/2022,11:26:56 AM,0,-0.0054,33.225
7/7/2022,11:26:57 AM,0,-0.0034,33.225
7/7/2022,11:26:58 AM,0,-0.0026,33.225
7/7/2022,11:26:59 AM,0,0.0012,33.217
7/7/2022,11:27:00 AM,0,-0.0081,33.233
7/7/2022,11:27:01 AM,0,0.0012,33.233
7/7/2022,11:27:02 AM,0,-0.0096,33.233
7/7/2022,11:27:03 AM,0,-0.0073,33.225
7/7/2022,11:27:04 AM,0,-0.005,33.225
7/7/2022,11:27:05 AM,0,-0.0034,33.233
7/7/2022,11:27:06 AM,0,-0.0057,33.233
7/7/2022,11:27:07 AM,0,-0.0073,33.233
7/7/2022,11:27:08 AM,0,-0.0096,33.233
7/7/2022,11:27:09 AM,0,-0.0081,33.233
7/7/2022,11:27:10 AM,0,-0.005,33.233
7/7/2022,11:27:11 AM,0,-0.005,33.233
7/7/2022,11:27:12 AM,0,-0.0034,33.233
7/7/2022,11:27:13 AM,0,-0.0057,33.233
7/7/2022,11:27:14 AM,0,-0.0065,33.233
7/7/2022,11:27:15 AM,0,-0.005,33.217
7/7/2022,11:27:16 AM,0,-0.0026,33.233
7/7/2022,11:27:17 AM,0,-0.0057,33.225
7/7/2022,11:27:18 AM,0,-0.0158,33.233
7/7/2022,11:27:19 AM,0,-0.0073,33.233
7/7/2022,11:27:20 AM,0,-0.0073,33.233
7/7/2022,11:27:21 AM,0,-0.0038,33.233
7/7/2022,11:27:22 AM,0,-0.0088,33.233
7/7/2022,11:27:23 AM,0,0.0012,33.225
7/7/2022,11:27:24 AM,0,-0.0096,33.233
7/7/2022,11:27:25 AM,0,-0.0073,33.233
7/7/2022,11:27:26 AM,0,0.0008,33.233
7/7/2022,11:27:27 AM,0,-0.0026,33.233
7/7/2022,11:27:28 AM,0,-0.0088,33.233
7/7/2022,11:27:29 AM,0,-0.0042,33.233
7/7/2022,11:27:30 AM,0,-0.0112,33.233
7/7/2022,11:27:31 AM,0,-0.0034,33.233
7/7/2022,11:27:32 AM,0,-0.0073,33.233
7/7/2022,11:27:33 AM,0,-0.0034,33.233
7/7/2022,11:27:34 AM,0,-0.0073,33.241
7/7/2022,11:27:35 AM,0,0.0028,33.25
7/7/2022,11:27:36 AM,0,-0.0057,33.233
7/7/2022,11:27:37 AM,0,0.0012,33.233
7/7/2022,11:27:38 AM,0,-0.0011,33.233
7/7/2022,11:27:39 AM,0,-0.0104,33.233
7/7/2022,11:27:40 AM,0,-0.0073,33.225
7/7/2022,11:27:41 AM,0,0.0059,33.25
7/7/2022,11:27:42 AM,0,-0.0042,33.233
7/7/2022,11:27:43 AM,0,-0.0034,33.225
7/7/2022,11:27:44 AM,0,-0.0042,33.233
7/7/2022,11:27:45 AM,0,-0.0034,33.233
7/7/2022,11:27:46 AM,0,-0.0119,33.233
7/7/2022,11:27:47 AM,0,-0.0073,33.233
7/7/2022,11:27:48 AM,0,-0.005,33.233
7/7/2022,11:27:49 AM,0,-0.005,33.241
7/7/2022,11:27:50 AM,0,0.0005,33.233
7/7/2022,11:27:51 AM,0,-0.005,33.241
7/7/2022,11:27:52 AM,0,-0.0011,33.241
7/7/2022,11:27:53 AM,0,-0.0011,33.25
7/7/2022,11:27:54 AM,0,-0.0088,33.233
7/7/2022,11:27:55 AM,0,-0.0112,33.241
7/7/2022,11:27:56 AM,0,-0.0011,33.241
7/7/2022,11:27:57 AM,0,-0.0026,33.233
7/7/2022,11:27:58 AM,0,-0.0019,33.25
7/7/2022,11:27:59 AM,0,-0.0042,33.233
7/7/2022,11:28:00 AM,0,-0.0003,33.25
7/7/2022,11:28:01 AM,0,0.0024,33.233
7/7/2022,11:28:02 AM,0,-0.0104,33.241
7/7/2022,11:28:03 AM,0,0.002,33.241
7/7/2022,11:28:04 AM,0,0.0028,33.25
7/7/2022,11:28:05 AM,0,-0.0023,33.25
7/7/2022,11:28:06 AM,0,-0.0096,33.241
7/7/2022,11:28:07 AM,0,0.0028,33.266
7/7/2022,11:28:08 AM,0,0.0028,33.25
7/7/2022,11:28:09 AM,0,0.0012,33.241
7/7/2022,11:28:10 AM,0,-0.0019,33.241
7/7/2022,11:28:11 AM,0,-0.0026,33.25
7/7/2022,11:28:12 AM,0,-0.0081,33.241
7/7/2022,11:28:13 AM,0,-0.005,33.241
7/7/2022,11:28:14 AM,0,-0.0081,33.233
7/7/2022,11:28:15 AM,0,-0.0073,33.25
7/7/2022,11:28:16 AM,0,-0.0077,33.233
7/7/2022,11:28:17 AM,0,-0.0065,33.258
7/7/2022,11:28:18 AM,0,-0.015,33.275
7/7/2022,11:28:19 AM,0,-0.0011,33.283
7/7/2022,11:28:20 AM,0,-0.0069,33.258
7/7/2022,11:28:21 AM,0,-0.005,33.258
7/7/2022,11:28:22 AM,0,-0.0073,33.258
7/7/2022,11:28:23 AM,0,-0.0034,33.233
7/7/2022,11:28:24 AM,0,-0.005,33.3
7/7/2022,11:28:25 AM,0,-0.0026,33.25
7/7/2022,11:28:26 AM,0,-0.0003,33.25
7/7/2022,11:28:27 AM,0,-0.0003,33.283
7/7/2022,11:28:28 AM,0,-0.0135,33.258
7/7/2022,11:28:29 AM,0,0.0028,33.283
7/7/2022,11:28:30 AM,0,-0.0011,33.258
7/7/2022,11:28:31 AM,0,-0.0011,33.275
7/7/2022,11:28:32 AM,0,-0.0011,33.266
7/7/2022,11:28:33 AM,0,-0.0019,33.258
7/7/2022,11:28:34 AM,0,-0.0096,33.3
7/7/2022,11:28:35 AM,0,-0.0019,33.283
7/7/2022,11:28:36 AM,0,-0.0065,33.308
7/7/2022,11:28:37 AM,0,-0.0019,33.258
7/7/2022,11:28:38 AM,0,-0.0104,33.308
7/7/2022,11:28:39 AM,0,-0.005,33.3
7/7/2022,11:28:40 AM,0,-0.0096,33.258
7/7/2022,11:28:41 AM,0,0.0051,33.275
7/7/2022,11:28:42 AM,0,-0.0112,33.3
7/7/2022,11:28:43 AM,0,-0.0003,33.308
7/7/2022,11:28:44 AM,0,-0.0119,33.283
7/7/2022,11:28:45 AM,0,-0.0019,33.291
7/7/2022,11:28:46 AM,0,-0.0135,33.3
7/7/2022,11:28:47 AM,0,-0.0057,33.275
7/7/2022,11:28:48 AM,0,-0.0065,33.325
7/7/2022,11:28:49 AM,0,0.0035,33.333
7/7/2022,11:28:50 AM,0,-0.005,33.358
7/7/2022,11:28:51 AM,0,-0.0042,33.308
7/7/2022,11:28:52 AM,0,-0.0073,33.3
7/7/2022,11:28:53 AM,0,-0.0081,33.399
7/7/2022,11:28:54 AM,0,-0.0081,33.391
7/7/2022,11:28:55 AM,0,-0.0073,33.391
7/7/2022,11:28:56 AM,0,-0.0038,33.466
7/7/2022,11:28:57 AM,0,0.0005,33.333
7/7/2022,11:28:58 AM,0,-0.0019,33.366
7/7/2022,11:28:59 AM,0,-0.0011,33.333
7/7/2022,11:29:00 AM,0,-0.0096,33.391
7/7/2022,11:29:01 AM,0,-0.0026,33.383
7/7/2022,11:29:02 AM,0,-0.0034,33.358
7/7/2022,11:29:03 AM,0,-0.0019,33.457
7/7/2022,11:29:04 AM,0,-0.0065,33.383
7/7/2022,11:29:05 AM,0,-0.0069,33.441
7/7/2022,11:29:06 AM,0,0.0005,33.366
7/7/2022,11:29:07 AM,0,0.0032,33.424
7/7/2022,11:29:08 AM,0,-0.0127,33.416
7/7/2022,11:29:09 AM,0,-0.0019,33.366
7/7/2022,11:29:10 AM,0,-0.0104,33.333
7/7/2022,11:29:11 AM,0,0.0024,33.441
7/7/2022,11:29:12 AM,0,-0.0073,33.383
7/7/2022,11:29:13 AM,0,-0.0003,33.474
7/7/2022,11:29:14 AM,0,-0.0104,33.524
7/7/2022,11:29:15 AM,0,0.0005,33.466
7/7/2022,11:29:16 AM,0,-0.0081,33.466
7/7/2022,11:29:17 AM,0,-0.0019,33.399
7/7/2022,11:29:18 AM,0,-0.0143,33.516
7/7/2022,11:29:19 AM,0,0.0012,33.449
7/7/2022,11:29:20 AM,0,-0.0057,33.466
